country_region,report_date,anosmia_score,ageusia_score,fever_score,cough_score,breath_shortness_score,anxiety_score,depression_score,insomnia_score,anosmia_7day_avg,ageusia_7day_avg,new_confirmed,new_deceased,new_hospitalized_patients,current_intensive_care_patients,mobility_workplaces,mobility_residential,stringency_index,population_density,gdp_per_capita_usd,confirmed_7day_avg,cases_per_100k
Australia,2020-01-01,0.06,0.05,3.89,5.7,0.76,9.71,5.82,3.56,0.060000000000000005,0.046666666666666669,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-02,0.04,0.06,4.02,5.79,0.75,9.54,5.59,3.73,0.055714285714285716,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-03,0.05,0.05,4.33,5.71,0.69,8.97,5.22,3.55,0.052857142857142859,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-04,0.04,0.05,3.91,5.56,0.7,9.37,5.49,3.43,0.052857142857142859,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-05,0.06,,3.92,5.9,0.83,10.13,5.87,3.95,0.051428571428571428,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-06,0.06,0.05,4.07,6.01,0.86,10.65,5.95,4.31,0.052857142857142859,0.052000000000000005,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-07,0.05,0.06,4.07,5.79,0.75,10.34,5.92,4.42,0.051428571428571428,0.053333333333333337,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-08,0.04,0.05,3.93,5.62,0.75,10.07,5.79,4.33,0.048571428571428571,0.053333333333333337,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-09,0.05,0.05,3.91,5.34,0.74,9.79,5.64,4.27,0.05,0.051666666666666666,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-10,0.04,0.04,3.73,5.38,0.67,9.28,5.65,3.94,0.048571428571428571,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-11,0.06,0.05,3.7,5.28,0.71,9.73,5.77,3.95,0.051428571428571428,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-12,0.05,0.05,3.88,5.39,0.81,10.63,6.22,4.61,0.05,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-13,0.04,0.06,4.01,5.54,0.88,10.64,6.26,4.52,0.047142857142857146,0.051428571428571428,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-14,0.06,0.05,3.89,5.32,0.85,10.41,6.13,4.45,0.048571428571428571,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-15,0.05,0.05,3.89,5.13,0.79,10.49,5.96,4.48,0.05,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-16,0.06,0.04,3.77,5.13,0.7,10.17,5.87,4.37,0.051428571428571428,0.048571428571428571,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-17,0.04,,3.77,5.0,0.69,9.51,5.59,3.97,0.051428571428571428,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-18,0.04,0.04,3.77,4.85,0.71,9.86,6.0,3.92,0.048571428571428571,0.048333333333333332,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-19,0.04,0.05,3.88,5.04,0.81,10.78,6.29,4.37,0.047142857142857146,0.048333333333333332,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-20,0.06,0.05,3.97,5.64,0.86,10.8,6.23,4.62,0.05,0.046666666666666669,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-21,0.06,0.07,4.28,5.57,0.84,11.54,6.15,4.61,0.05,0.05,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-22,0.05,0.04,4.16,5.42,0.77,10.77,6.07,4.36,0.05,0.048333333333333339,0,0,,,,,0.0,3.319,54907,0.0,0.0
Australia,2020-01-23,0.07,0.04,4.07,5.32,0.74,10.17,5.88,4.09,0.051428571428571428,0.048333333333333339,1,0,,,,,0.0,3.319,54907,0.14285714285714285,0.0039215869281899783
Australia,2020-01-24,0.04,0.06,4.21,5.88,0.73,9.43,5.58,3.76,0.051428571428571428,0.05,3,0,,,,,0.0,3.319,54907,0.5714285714285714,0.011764760784569936
Australia,2020-01-25,0.06,0.05,4.71,6.35,0.81,9.34,5.75,3.67,0.054285714285714284,0.051428571428571428,0,0,,0,,,5.56,3.319,54907,0.5714285714285714,0.0
Australia,2020-01-26,0.06,0.04,4.58,6.2,0.8,9.69,5.9,3.6,0.057142857142857141,0.05,0,0,,0,,,5.56,3.319,54907,0.5714285714285714,0.0
Australia,2020-01-27,0.06,0.04,4.88,6.57,0.92,11.12,6.28,4.18,0.057142857142857141,0.048571428571428571,1,0,,0,,,5.56,3.319,54907,0.7142857142857143,0.0039215869281899783
Australia,2020-01-28,0.07,0.03,5.25,6.68,0.95,11.2,6.19,4.45,0.058571428571428573,0.042857142857142858,0,0,,0,,,5.56,3.319,54907,0.7142857142857143,0.0
Australia,2020-01-29,0.04,0.05,5.46,6.61,0.85,11.09,6.02,4.29,0.057142857142857141,0.044285714285714289,4,0,,0,,,5.56,3.319,54907,1.2857142857142858,0.015686347712759913
Australia,2020-01-30,0.06,0.05,5.11,6.63,0.87,10.46,5.82,3.95,0.055714285714285716,0.045714285714285714,0,0,,0,,,5.56,3.319,54907,1.1428571428571428,0.0
Australia,2020-01-31,0.05,0.04,4.92,6.29,0.8,9.57,5.58,3.52,0.057142857142857141,0.042857142857142858,0,0,,0,,,5.56,3.319,54907,0.7142857142857143,0.0
